N,Departamento,Provincia,Municipio,Localidad
179,Santa Cruz,Warnes,Okinawa Uno,Okinawa Uno
180,Santa Cruz,Chiquitos,Pailón,Pailón
181,Santa Cruz,Florida,Pampa Grande,Pampa Grande
182,Santa Cruz,Sara,Portachuelo,Portachuelo
183,Santa Cruz,Chiquitos,Robore,Robore
184,Santa Cruz,Velasco,San lgnacio de Velasco,San lgnacio de Velasco
185,Santa Cruz,Manuel Maria Caballero,Comarapa,San lsidro
186,Santa Cruz,Ñufo de Chavez,San Javier,San Javier
187,Santa Cruz,lchilo,San Juan de Yapacani,San Juan de Yapacani
188,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro
189,Santa Cruz,Nuflo De Chavez,San Ramdn,San Ramdn
190,Santa Cruz,Sara,Santa Rosa del Sara,Santa Rosa del Sara
191,Tarija,Gran Chaco,Yacuiba,Campo Pajoso
192,Tarija,Aniceto Arce,Bermejo,Colonia Linares
193,Tarija,Gran Chaco,Yacuiba,El Palmar
194,Tarija,Mendez,El puente,Iscayachi
195,Tarija,Aniceto Arce,Padcaya,La Mamora
196,Tarija,Aniceto Arce,Padcaya,Padcaya
197,Tarija,O'connor,Entre Rios,Palos Blancos
198,Tarija,Aniceto Arce,Padcaya,San Telmo
199,Tarija,Gran Chaco,Yacuiba,Villa El Carmen
200,Tarija,Aviles,Yunchara,Yunchara
